Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac
,,,,,,,,,,,,,,,,,,,,,,85.0,,
,,,,,,,,,,,,,,,,,,,,,,53.0,,
,,,,,,,,,,,,,,,,,,,,,,34.0,,
,,,,,,,,,,,,,,,,,,,,,,89.0,,
,,,,,,,,,,,,,,,,,,,,,,78.0,,
,,,,,,,,,,,,,,,,,,,,,,47.0,,
,,,,,,,,,,,,,,,,,,,,,,78.0,,
,,,,,,,,,,,,,,,,,,,,,,75.0,,
,,,,,,,,,,,,,,,,,,,,,,159.0,,
,,,,,,,,,,,,,,,,,,,,,,59.0,,
,,,,,,,,,,,,,,,,,,,,,,84.0,,
,,,,,,,,,,,,,,,,,,,,,,69.0,,
,,,,,,,,,,,,,,,,,,,,,,83.0,,
,,,,,,,,,,,,,,,,,,,,,,79.0,,
,,,,,,,,,,,,,,,,,,,,,,50.0,,
,,,,,,,,,,,,,,,,,,,,,,125.0,,
,,,,,,,,,,,,,,,,,,,,,,69.0,,
,,,,,,,,,,,,,,,,,,,,,,85.0,,
,,,,,,,,,,,,,,,,,,,,,,179.0,,
,,,,,,,,,,,,,,,,,,,,,,158.0,,
,,,,,,,,,,,,,,,,,,,,,,89.0,,
,,,,,,,,,,,,,,,,,,,,,,25.0,,
,,,,,,,,,,,,,,,,,,,,,,79.0,,
,,,,,,,,,,,,,,,,,,,,,,89.0,,
,,,,,,,,,,,,,,,,,,,,,,71.0,,
,,,,,,,,,,,,,,,,,,,,,,79.0,,
,,,,,,,,,,,,,,,,,,,,,,56.0,,
,,,,,,,,,,,,,,,,,,,,,,84.0,,
,,,,,,,,,,,,,,,,,,,,,,65.0,,
,,,,,,,,,,,,,,,,,,,,,,139.0,,
,,,,,,,,,,,,,,,,,,,,,,72.0,,
,,,,,,,,,,,,,,,,,,,,,,65.0,,
,,,,,,,,,,,,,,,,,,,,,,60.0,,
,,,,,,,,,,,,,,,,,,,,,,55.0,,
,,,,,,,,,,,,,,,,,,,,,,62.0,,
,,,,,,,,,,,,,,,,,,,,,,42.0,,
,,,,,,,,,,,,,,,,,,,,,,64.0,,
,,,,,,,,,,,,,,,,,,,,,,70.0,,
,,,,,,,,,,,,,,,,,,,,,,42.0,,
,,,,,,,,,,,,,,,,,,,,,,47.0,,
,,,,,,,,,,,,,,,,,,,,,,32.0,,
,,,,,,,,,,,,,,,,,,,,,,47.0,,
,,,,,,,,,,,,,,,,,,,,,,81.0,,
,,,,,,,,,,,,,,,,,,,,,,62.0,,
,,,,,,,,,,,,,,,,,,,,,,43.0,,
,,,,,,,,,,,,,,,,,,,,,,71.0,,
,,,,,,,,,,,,,,,,,,,,,,55.0,,
,,,,,,,,,,,,,,,,,,,,,,35.0,,
,,,,,,,,,,,,,,,,,,,,,,40.0,,
,,,,,,,,,,,,,,,,,,,,,,45.0,,
,,,,,,,,,,,,,,,,,,,,,,52.0,,
